[2025-09-11 14:31:44] INFO keshe.middleware: API Request: {'url': '/api/courses/api/1/schedules/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:31:44] WARNING keshe.middleware: API Response: {'url': '/api/courses/api/1/schedules/', 'method': 'GET', 'status_code': 403, 'duration_ms': 0.5, 'user': 'Anonymous'}
[2025-09-11 14:31:53] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/csrf-token/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:31:53] INFO keshe.middleware: API Response: {'url': '/api/accounts/api/csrf-token/', 'method': 'GET', 'status_code': 200, 'duration_ms': 0.0, 'user': 'Anonymous'}
[2025-09-11 14:32:04] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/register/', 'method': 'POST', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:32:04] WARNING keshe.middleware: API Response: {'url': '/api/accounts/api/register/', 'method': 'POST', 'status_code': 400, 'duration_ms': 1.0, 'user': 'Anonymous'}
[2025-09-11 14:32:15] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/register/', 'method': 'POST', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:32:15] WARNING keshe.middleware: API Response: {'url': '/api/accounts/api/register/', 'method': 'POST', 'status_code': 400, 'duration_ms': 0.0, 'user': 'Anonymous'}
[2025-09-11 14:32:32] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/register/', 'method': 'POST', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:32:32] WARNING keshe.middleware: API Response: {'url': '/api/accounts/api/register/', 'method': 'POST', 'status_code': 400, 'duration_ms': 2.99, 'user': 'Anonymous'}
[2025-09-11 14:32:43] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/login/', 'method': 'POST', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:32:44] INFO keshe.middleware: API Response: {'url': '/api/accounts/api/login/', 'method': 'POST', 'status_code': 200, 'duration_ms': 559.23, 'user': '管理员(admin)'}
[2025-09-11 14:32:59] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/login/', 'method': 'POST', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:33:00] INFO keshe.middleware: API Response: {'url': '/api/accounts/api/login/', 'method': 'POST', 'status_code': 200, 'duration_ms': 573.99, 'user': '管理员(admin)'}
[2025-09-11 14:33:13] INFO keshe.middleware: API Request: {'url': '/api/campus/api/areas/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:33:13] WARNING keshe.middleware: API Response: {'url': '/api/campus/api/areas/', 'method': 'GET', 'status_code': 404, 'duration_ms': 7.98, 'user': 'Anonymous'}
[2025-09-11 14:33:25] INFO keshe.middleware: API Request: {'url': '/api/campus/api/areas/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:33:25] WARNING keshe.middleware: API Response: {'url': '/api/campus/api/areas/', 'method': 'GET', 'status_code': 404, 'duration_ms': 3.99, 'user': 'Anonymous'}
[2025-09-11 14:33:41] INFO keshe.middleware: API Request: {'url': '/api/campus/api/list/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:33:41] WARNING keshe.middleware: API Response: {'url': '/api/campus/api/list/', 'method': 'GET', 'status_code': 403, 'duration_ms': 2.99, 'user': 'Anonymous'}
[2025-09-11 14:34:02] INFO keshe.middleware: API Request: {'url': '/api/payments/api/list/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:34:02] WARNING keshe.middleware: API Response: {'url': '/api/payments/api/list/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:34:18] INFO keshe.middleware: API Request: {'url': '/api/payments/api/list/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:34:18] WARNING keshe.middleware: API Response: {'url': '/api/payments/api/list/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.81, 'user': 'Anonymous'}
[2025-09-11 14:34:27] INFO keshe.middleware: API Request: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:34:27] WARNING keshe.middleware: API Response: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'status_code': 403, 'duration_ms': 2.01, 'user': 'Anonymous'}
[2025-09-11 14:34:38] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/login/', 'method': 'POST', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:34:38] INFO keshe.middleware: API Response: {'url': '/api/accounts/api/login/', 'method': 'POST', 'status_code': 200, 'duration_ms': 540.87, 'user': '测试用户(testuser)'}
[2025-09-11 14:34:53] INFO keshe.middleware: API Request: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:34:53] WARNING keshe.middleware: API Response: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:35:07] INFO keshe.middleware: API Request: {'url': '/api/courses/api/list/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:35:07] WARNING keshe.middleware: API Response: {'url': '/api/courses/api/list/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.98, 'user': 'Anonymous'}
[2025-09-11 14:35:17] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/login/', 'method': 'POST', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:35:18] INFO keshe.middleware: API Response: {'url': '/api/accounts/api/login/', 'method': 'POST', 'status_code': 200, 'duration_ms': 581.67, 'user': '测试用户(testuser)'}
[2025-09-11 14:35:18] INFO keshe.middleware: API Request: {'url': '/api/courses/api/list/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:35:18] INFO keshe.middleware: API Response: {'url': '/api/courses/api/list/', 'method': 'GET', 'status_code': 200, 'duration_ms': 14.96, 'user': '测试用户(testuser)'}
[2025-09-11 14:35:38] INFO keshe.middleware: API Request: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
[2025-09-11 14:35:38] WARNING keshe.middleware: API Response: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:35:59] INFO keshe.middleware: API Request: {'url': '/api/accounts/api/login/', 'method': 'POST', 'user': 'Anonymous', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT; Windows NT 10.0; zh-CN) WindowsPowerShell/5.1.19041.6328'}
