INFO 2025-09-11 11:10:08,700 autoreload 19664 4132 Watching for file changes with StatReloader
INFO 2025-09-11 11:10:15,500 basehttp 19664 17788 "GET /?ide_webview_request_time=1757560215439 HTTP/1.1" 302 0
INFO 2025-09-11 11:10:15,512 basehttp 19664 17788 "GET /admin/ HTTP/1.1" 302 0
INFO 2025-09-11 11:10:15,701 basehttp 19664 17788 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4195
INFO 2025-09-11 11:10:16,164 basehttp 19664 16680 "GET /static/admin/css/login.css HTTP/1.1" 200 958
INFO 2025-09-11 11:10:16,164 basehttp 19664 12592 "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2694
INFO 2025-09-11 11:10:16,165 basehttp 19664 21204 "GET /static/admin/css/responsive.css HTTP/1.1" 200 18559
INFO 2025-09-11 11:10:16,168 basehttp 19664 18840 "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2929
INFO 2025-09-11 11:10:16,181 basehttp 19664 21204 "GET /static/admin/js/theme.js HTTP/1.1" 200 1943
INFO 2025-09-11 11:10:16,181 basehttp 19664 16680 "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-09-11 11:10:16,188 basehttp 19664 17788 "GET /static/admin/css/base.css HTTP/1.1" 200 21310
WARNING 2025-09-11 11:10:16,397 log 19664 17788 Not Found: /@vite/client
WARNING 2025-09-11 11:10:16,397 basehttp 19664 17788 "GET /@vite/client HTTP/1.1" 404 3347
INFO 2025-09-11 11:10:26,898 basehttp 19664 17788 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 4333
WARNING 2025-09-11 11:10:26,932 log 19664 17788 Not Found: /@vite/client
WARNING 2025-09-11 11:10:26,932 basehttp 19664 17788 "GET /@vite/client HTTP/1.1" 404 3347
INFO 2025-09-11 11:10:35,696 basehttp 19664 17788 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-09-11 11:10:35,730 basehttp 19664 17788 "GET /admin/ HTTP/1.1" 200 6243
INFO 2025-09-11 11:10:35,745 basehttp 19664 17788 "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
