[2025-09-11 14:31:44] WARNING keshe.middleware: API Response: {'url': '/api/courses/api/1/schedules/', 'method': 'GET', 'status_code': 403, 'duration_ms': 0.5, 'user': 'Anonymous'}
[2025-09-11 14:32:04] WARNING keshe.middleware: API Response: {'url': '/api/accounts/api/register/', 'method': 'POST', 'status_code': 400, 'duration_ms': 1.0, 'user': 'Anonymous'}
[2025-09-11 14:32:15] WARNING keshe.middleware: API Response: {'url': '/api/accounts/api/register/', 'method': 'POST', 'status_code': 400, 'duration_ms': 0.0, 'user': 'Anonymous'}
[2025-09-11 14:32:32] WARNING keshe.middleware: API Response: {'url': '/api/accounts/api/register/', 'method': 'POST', 'status_code': 400, 'duration_ms': 2.99, 'user': 'Anonymous'}
[2025-09-11 14:33:13] WARNING keshe.middleware: API Response: {'url': '/api/campus/api/areas/', 'method': 'GET', 'status_code': 404, 'duration_ms': 7.98, 'user': 'Anonymous'}
[2025-09-11 14:33:25] WARNING keshe.middleware: API Response: {'url': '/api/campus/api/areas/', 'method': 'GET', 'status_code': 404, 'duration_ms': 3.99, 'user': 'Anonymous'}
[2025-09-11 14:33:41] WARNING keshe.middleware: API Response: {'url': '/api/campus/api/list/', 'method': 'GET', 'status_code': 403, 'duration_ms': 2.99, 'user': 'Anonymous'}
[2025-09-11 14:34:02] WARNING keshe.middleware: API Response: {'url': '/api/payments/api/list/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:34:18] WARNING keshe.middleware: API Response: {'url': '/api/payments/api/list/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.81, 'user': 'Anonymous'}
[2025-09-11 14:34:27] WARNING keshe.middleware: API Response: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'status_code': 403, 'duration_ms': 2.01, 'user': 'Anonymous'}
[2025-09-11 14:34:53] WARNING keshe.middleware: API Response: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:35:07] WARNING keshe.middleware: API Response: {'url': '/api/courses/api/list/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.98, 'user': 'Anonymous'}
[2025-09-11 14:35:38] WARNING keshe.middleware: API Response: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:36:29] WARNING keshe.middleware: API Response: {'url': '/api/payments/api/list/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:36:29] WARNING keshe.middleware: API Response: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'status_code': 403, 'duration_ms': 2.01, 'user': 'Anonymous'}
[2025-09-11 14:36:30] WARNING keshe.middleware: API Response: {'url': '/api/accounts/api/profile/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:39:01] WARNING keshe.middleware: API Response: {'url': '/api/reservations/cancellations/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
[2025-09-11 14:39:39] WARNING keshe.middleware: API Response: {'url': '/api/accounts/api/profile/', 'method': 'GET', 'status_code': 403, 'duration_ms': 1.99, 'user': 'Anonymous'}
